Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
b0114	b0114	29	29	29		1	29	29	29	36.3	36.3	36.3	99.667	887	887	0	256.82	1.3632	0.848	69.014	78	0	Leave out requantified	8035500	4480400	3555100				10	156;194;217;369;370;374;376;437;557;564;602;642;695;772;882;1057;1060;1064;1098;1203;1223;1310;1598;1687;1788;1822;1885;1886;1936	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	159;197;220;373;374;378;380;441;561;568;607;648;701;778;889;1064;1067;1071;1105;1211;1231;1325;1617;1706;1808;1843;1906;1907;1958	323;324;325;393;394;395;396;397;398;399;445;446;447;448;449;450;451;452;453;743;744;745;746;747;748;749;750;751;752;753;754;755;756;757;758;759;760;761;762;763;770;771;774;775;776;777;878;879;880;881;882;883;884;885;1095;1096;1097;1114;1182;1183;1184;1247;1248;1249;1250;1251;1252;1253;1348;1477;1478;1479;1702;1703;1704;1705;1706;1707;1708;1709;2049;2050;2051;2052;2053;2054;2055;2061;2062;2067;2128;2341;2342;2343;2383;2384;2385;2386;2387;2388;2389;2390;2391;2392;2393;2576;3102;3103;3104;3105;3106;3107;3108;3109;3110;3111;3112;3113;3114;3290;3291;3292;3293;3294;3295;3296;3297;3535;3536;3591;3592;3593;3594;3595;3596;3597;3598;3735;3736;3737;3738;3739;3740;3741;3742;3743;3744;3745;3827	1599;1600;1601;1602;1603;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;2141;2142;2143;2144;2145;2146;2147;2148;2149;2150;2151;2152;2153;2154;2155;2156;2157;2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169;2170;2171;2172;2173;2174;2175;2176;2177;2178;2179;2180;2181;2182;2183;2184;2185;2186;2187;2188;3348;3349;3350;3351;3352;3353;3354;3355;3356;3357;3358;3359;3360;3361;3362;3363;3364;3365;3366;3367;3368;3369;3370;3371;3372;3373;3374;3375;3376;3377;3378;3379;3380;3381;3382;3383;3384;3385;3386;3387;3388;3389;3390;3391;3392;3393;3394;3395;3396;3397;3398;3399;3400;3401;3402;3403;3404;3405;3406;3407;3408;3409;3410;3411;3412;3413;3414;3415;3416;3417;3418;3419;3420;3421;3422;3423;3424;3425;3426;3427;3428;3429;3430;3431;3432;3433;3434;3435;3436;3437;3438;3439;3440;3441;3442;3443;3444;3445;3446;3447;3448;3449;3450;3451;3452;3453;3454;3455;3456;3457;3458;3459;3460;3461;3462;3463;3464;3465;3466;3467;3468;3469;3470;3471;3472;3473;3474;3475;3476;3477;3478;3479;3480;3481;3482;3483;3484;3485;3486;3487;3488;3489;3490;3491;3492;3493;3494;3495;3496;3497;3498;3499;3500;3501;3502;3503;3504;3505;3506;3507;3508;3509;3510;3511;3512;3513;3514;3515;3516;3517;3518;3519;3520;3521;3522;3523;3524;3525;3526;3527;3528;3529;3578;3579;3580;3581;3582;3583;3591;3592;3593;3594;3595;3596;3597;3598;3599;3998;3999;4000;4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018;4019;4020;4021;4022;4023;4024;4025;4026;4027;4028;4029;4030;4031;4032;4033;4034;4035;4036;4037;4038;4039;4040;4041;4042;4043;4044;4045;4046;4047;4048;4049;4050;4051;4862;4863;4864;4927;4928;5286;5287;5288;5289;5290;5291;5292;5293;5520;5521;5522;5523;5524;5525;5526;5527;5528;5529;5530;5531;5532;5533;5534;5535;5536;5537;5538;5539;5540;5541;5542;5543;5544;5545;5546;5547;5548;5549;5550;5551;5552;5553;5554;5555;5556;5557;5558;5559;5560;5561;5562;5563;5564;5565;5566;5567;5568;5905;6429;6430;6431;6432;6433;6434;6435;6436;6437;6438;7419;7420;7421;7422;7423;7424;7425;7426;7427;7428;7429;7430;7431;7432;7433;7434;7435;7436;7437;7438;7439;7440;7441;7442;7443;7444;7445;7446;7447;7448;7449;7450;7451;7452;7453;7454;7455;7456;7457;7458;7459;7460;7461;7462;7463;7464;7465;7466;7467;7468;7469;7470;7471;7472;7473;7474;7475;7476;7477;7478;7479;7480;7481;7482;7483;8820;8821;8822;8823;8824;8825;8826;8827;8828;8829;8830;8831;8832;8833;8834;8835;8836;8837;8838;8839;8840;8841;8842;8843;8844;8845;8846;8847;8848;8849;8850;8851;8852;8853;8854;8855;8856;8857;8858;8859;8860;8861;8862;8863;8864;8865;8866;8867;8868;8889;8890;8891;8892;8893;8894;8916;8917;9139;9978;9979;9980;9981;9982;9983;9984;9985;9986;9987;9988;9989;9990;9991;9992;9993;10155;10156;10157;10158;10159;10160;10161;10162;10163;10164;10165;10166;10167;10168;10169;10170;10171;10172;10173;10174;10175;10176;10177;10178;10179;10180;10181;10182;10183;10184;10185;10186;10187;10188;10189;10190;10191;10192;10193;10194;10195;10196;10197;10198;10199;10200;10201;10202;10203;10204;10205;10206;10207;10208;10209;10210;10211;10212;10213;10214;10215;10216;10217;10893;10894;10895;10896;10897;10898;10899;10900;10901;10902;12919;12920;12921;12922;12923;12924;12925;12926;12927;12928;12929;12930;12931;12932;12933;12934;12935;12936;12937;12938;12939;12940;12941;12942;12943;12944;12945;12946;12947;12948;12949;12950;12951;12952;12953;12954;12955;12956;12957;12958;12959;12960;12961;12962;12963;12964;12965;12966;12967;12968;12969;12970;12971;12972;12973;12974;12975;12976;12977;12978;12979;12980;12981;12982;12983;12984;12985;12986;12987;12988;12989;12990;12991;12992;12993;12994;12995;12996;12997;12998;12999;13000;13001;13726;13727;13728;13729;13730;13731;13732;13733;13734;13735;13736;13737;13738;13739;13740;13741;13742;14770;14771;14772;14773;14774;14775;14776;14777;14778;14779;14780;14781;14782;14783;14784;14785;14786;14787;15031;15032;15033;15034;15035;15036;15037;15038;15039;15040;15041;15042;15043;15044;15045;15046;15047;15048;15049;15050;15051;15052;15053;15054;15055;15056;15057;15058;15059;15060;15061;15062;15063;15064;15065;15066;15067;15068;15069;15070;15741;15742;15743;15744;15745;15746;15747;15748;15749;15750;15751;15752;15753;15754;15755;15756;15757;15758;15759;15760;15761;15762;15763;15764;15765;15766;15767;15768;15769;15770;15771;15772;15773;15774;15775;15776;15777;15778;15779;15780;15781;15782;15783;15784;15785;15786;15787;15788;15789;15790;15791;15792;15793;15794;15795;15796;15797;15798;15799;15800;15801;15802;15803;15804;15805;15806;15807;15808;16167;16168;16169;16170	1603;1928;2158;3397;3504;3583;3591;4017;4862;4927;5290;5540;5905;6434;7481;8840;8889;8917;9139;9987;10211;10898;12999;13729;14776;15061;15763;15807;16168		
b0115	b0115	22	22	22		1	22	22	22	46.3	46.3	46.3	66.095	630	630	0	323.31	6.1643	9.3408	77.207	16	0	Leave out requantified	3627200	1892100	1735100				11	220;361;377;392;399;504;530;540;541;560;661;948;1150;1384;1431;1470;1581;1582;1614;1807;1828;1920	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	223;224;365;381;396;403;508;534;544;545;564;667;955;1157;1158;1399;1447;1486;1600;1601;1633;1828;1849;1942	458;459;460;461;462;463;464;465;466;467;468;469;729;730;778;796;806;987;1035;1036;1037;1038;1039;1058;1059;1060;1061;1062;1063;1064;1065;1102;1103;1104;1283;1284;1285;1286;1834;1835;1836;1837;1838;1839;1840;2235;2236;2237;2238;2239;2240;2241;2242;2243;2698;2780;2781;2873;2874;2875;3078;3079;3080;3139;3570;3611;3803	2208;2209;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2222;2223;2224;2225;2226;2227;2228;2229;2230;2231;2232;2233;2234;2235;2236;2237;2238;2239;2240;2241;2242;2243;2244;2245;2246;2247;2248;2249;2250;2251;2252;2253;2254;2255;2256;2257;2258;2259;2260;2261;2262;2263;2264;2265;2266;2267;2268;2269;2270;2271;2272;2273;2274;2275;2276;3301;3302;3303;3600;3601;3602;3603;3604;3605;3678;3679;3734;3735;4447;4448;4449;4450;4605;4606;4607;4608;4609;4610;4611;4612;4613;4614;4615;4616;4617;4618;4619;4620;4621;4622;4623;4624;4625;4626;4627;4727;4728;4729;4730;4731;4732;4733;4734;4735;4736;4737;4738;4739;4740;4741;4742;4743;4744;4745;4746;4747;4748;4749;4750;4751;4752;4753;4754;4755;4756;4757;4758;4880;4881;4882;4883;4884;4885;4886;4887;4888;4889;4890;4891;5677;5678;5679;5680;5681;5682;5683;5684;5685;5686;5687;5688;5689;8081;8082;8083;8084;8085;8086;8087;8088;8089;8090;8091;8092;8093;8094;8095;8096;8097;8098;8099;8100;8101;8102;9567;9568;9569;9570;9571;9572;9573;9574;9575;9576;9577;9578;9579;9580;9581;9582;9583;9584;9585;9586;9587;9588;9589;9590;9591;9592;9593;9594;9595;9596;9597;9598;9599;11317;11318;11319;11320;11321;11322;11323;11640;11641;11642;12060;12061;12062;12063;12064;12065;12066;12067;12068;12069;12070;12071;12072;12832;12833;12834;12835;12836;12837;13070;13071;13072;13073;14924;14925;14926;14927;14928;14929;14930;14931;14932;14933;15110;15111;16047	2227;3303;3605;3678;3735;4449;4622;4733;4756;4886;5688;8090;9595;11320;11642;12064;12834;12835;13072;14930;15111;16047	1;2	474;594
b0116	b0116	12	12	12		1	12	12	12	30.4	30.4	30.4	50.688	474	474	0	33.657	1.0264	0.94354	6.558	18	0	Leave out requantified	2514500	1351100	1163400				12	94;143;390;558;752;970;981;1650;1659;1771;1773;1903	True;True;True;True;True;True;True;True;True;True;True;True	95;144;394;562;758;977;988;1669;1678;1791;1793;1925	201;299;793;794;1098;1099;1440;1885;1886;1887;1904;1905;3202;3203;3204;3205;3216;3217;3502;3503;3504;3507;3508;3776;3777;3778;3779;3780;3781	977;1509;3654;3655;3656;3657;3658;3659;3660;3661;3662;3663;3664;3665;4865;4866;4867;6273;8216;8217;8218;8219;8220;8221;8222;8223;8224;8225;8226;8227;8277;8278;8279;8280;13277;13278;13279;13280;13281;13282;13283;13284;13285;13286;13287;13288;13289;13290;13291;13292;13293;13294;13295;13296;13297;13298;13299;13300;13301;13302;13303;13304;13325;13326;13327;13328;13329;13330;14659;14660;14661;14662;14663;14664;14665;14666;14667;14668;14669;14676;14677;14678;14679;14680;14681;14682;14683;14684;14685;14686;14687;14688;15950;15951;15952;15953;15954;15955;15956;15957;15958;15959;15960;15961;15962;15963;15964;15965;15966;15967;15968;15969;15970;15971;15972;15973;15974;15975;15976;15977;15978;15979;15980;15981;15982	977;1509;3656;4866;6273;8225;8279;13280;13325;14663;14682;15959		
b0118	b0118	8	8	8		1	8	8	8	11	11	11	93.465	865	865	0	38.694	3.032	2.0869	3.7374	3	0	Leave out requantified	259360	24704	234660				13	162;329;889;915;1229;1351;1584;1693	True;True;True;True;True;True;True;True	165;333;896;922;1237;1366;1603;1712	331;332;333;334;668;1717;1786;1787;2400;2647;3083;3307	1617;1618;1619;1620;1621;1622;1623;1624;3089;3090;3091;3092;7524;7525;7526;7898;7899;7900;7901;7902;7903;7904;7905;7906;7907;7908;7909;7910;10244;11150;12843;12844;12845;12846;12847;12848;12849;12850;12851;13771	1618;3089;7524;7906;10244;11150;12849;13771		
b0121	b0121	1	1	1		1	1	1	1	5.6	5.6	5.6	32.321	288	288	0	3.0372	NaN	NaN	NaN	0	0	Median	22936	22936	0				14	1580	True	1599	3077	12831	12831		
b0125	b0125	1	1	1		1	1	1	1	7.3	7.3	7.3	20.115	178	178	0	7.1553	NaN	NaN	NaN	1	0	Median	38565	24629	13936				15	346	True	350	696	3203;3204;3205	3204		
b0126	b0126	4	4	4		1	4	4	4	22.7	22.7	22.7	25.096	220	220	0	6.5161	0.68399	0.94734	14.248	3	0	Leave out requantified	200810	133430	67383				16	316;1198;1266;1275	True;True;True;True	320;1206;1277;1286	647;2333;2477;2491	2989;2990;2991;2992;9946;9947;9948;9949;9950;9951;9952;9953;10505;10536;10537;10538;10539;10540	2990;9951;10505;10536		
b0131	b0131	2	2	2		1	2	2	2	21.4	21.4	21.4	13.834	126	126	0	2.3414	NaN	NaN	NaN	1	0	Median	70575	50696	19879				17	574;1683	True;True	578;1702	1132;3284	5031;5032;13714	5031;13714		
b0150	b0150	8	8	8		1	8	8	8	14.5	14.5	14.5	82.181	747	747	0	19.392	0.3506	0.53127	12.927	8	0	Leave out requantified	266140	189710	76424				18	516;730;1540;1755;1798;1812;1907;1956	True;True;True;True;True;True;True;True	520;736;1558;1775;1818;1833;1929;1978	1005;1405;3011;3471;3554;3578;3785;3856	4505;4506;4507;4508;4509;6151;12578;14560;14561;14562;14563;14879;14997;14998;14999;15000;15986;16302	4508;6151;12578;14563;14879;14999;15986;16302		
b0159	b0159	1	1	1		1	1	1	1	4.7	4.7	4.7	24.354	232	232	0	1.9038	NaN	NaN	NaN	1	0	Median	18402	9867.7	8534.4				19	1737	True	1757	3432	14350;14351	14351		
b0166	b0166	4	4	4		1	4	4	4	16.4	16.4	16.4	29.892	274	274	0	7.7144	0.91152	1.2618	3.7978	3	0	Leave out requantified	309150	174940	134210				20	237;387;1284;1747	True;True;True;True	241;391;1295;1767	507;789;790;2506;2507;3453	2442;3637;3638;3639;3640;3641;3642;3643;3644;3645;10576;10577;10578;14475	2442;3643;10577;14475		
b0168	b0168	2	2	2		1	2	2	2	8.3	8.3	8.3	29.33	264	264	0	3.5148	NaN	NaN	NaN	1	0	Median	77630	36425	41205				21	585;949	True;True	589;956	1151;1841;1842	5137;5138;5139;8103;8104	5139;8103		
b0169	b0169	7	7	7		1	7	7	7	32.8	32.8	32.8	26.743	241	241	0	36.901	0.76454	1.1434	6.2267	14	0	Leave out requantified	1818100	1156700	661460				22	244;332;894;1058;1267;1759;1882	True;True;True;True;True;True;True	248;336;901;1065;1278;1779;1903	518;519;672;673;674;1729;1730;1731;2056;2057;2058;2478;2479;2480;3478;3725;3726;3727;3728;3729	2475;2476;2477;2478;2479;2480;2481;2482;2483;2484;2485;2486;2487;2488;2489;2490;2491;2492;2493;2494;2495;2496;2497;2498;2499;2500;2501;2502;2503;2504;2505;2506;2507;3101;3102;3103;3104;3105;3106;3107;3108;3109;3110;3111;7617;7618;7619;7620;7621;7622;7623;7624;7625;7626;7627;7628;8869;8870;8871;8872;8873;8874;8875;8876;8877;8878;8879;8880;8881;8882;8883;8884;10506;10507;10508;10509;10510;14595;15708;15709;15710;15711;15712;15713;15714;15715;15716;15717;15718;15719;15720;15721;15722;15723;15724;15725;15726;15727;15728;15729	2506;3106;7619;8878;10508;14595;15729		
b0170	b0170	16	16	16		1	16	16	16	57.6	57.6	57.6	30.423	283	283	0	41.404	0.79087	1.1876	27.136	26	0	Leave out requantified	3297900	1814400	1483600				23	46;87;164;185;261;422;511;525;596;860;870;942;977;1689;1725;1781	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	46;88;167;188;265;426;515;529;601;867;877;949;984;1708;1745;1801	86;186;187;339;372;373;550;551;854;855;856;997;998;1027;1028;1172;1173;1655;1673;1674;1675;1676;1822;1900;3300;3301;3302;3303;3412;3520;3521	406;879;880;881;882;883;884;885;886;887;888;889;890;1643;1644;1645;1795;1796;1797;1798;2618;2619;2620;2621;2622;2623;2624;3911;3912;3913;3914;3915;3916;3917;3918;3919;3920;3921;3922;3923;3924;3925;3926;3927;3928;4484;4485;4486;4487;4488;4489;4490;4491;4492;4493;4583;4584;4585;5248;5249;5250;5251;5252;5253;5254;5255;7186;7187;7188;7189;7266;7267;7268;7269;7270;7271;7272;7273;7274;7275;8036;8268;8269;8270;8271;13747;13748;13749;13750;13751;13752;13753;13754;13755;13756;13757;13758;13759;13760;13761;13762;13763;13764;13765;13766;14270;14271;14713;14714;14715;14716;14717;14718	406;884;1643;1796;2621;3925;4489;4585;5248;7188;7275;8036;8271;13759;14271;14713		
b0172	b0172	2	2	2		1	2	2	2	11.4	11.4	11.4	20.606	185	185	0	6.0153	0.72871	1.1011	6.3921	4	0	Leave out requantified	264340	149160	115180				24	1399;1810	True;True	1415;1831	2720;2721;3575;3576	11401;11402;11403;11404;11405;11406;11407;11408;11409;14971;14972;14973;14974;14975;14976;14977;14978;14979;14980;14981;14982;14983;14984;14985;14986;14987;14988;14989;14990;14991	11401;14988		
b0177	b0177	8	8	8		1	8	8	8	10.7	10.7	10.7	90.552	810	810	0	23.174	1.6338	1.0163	7.741	5	0	Leave out requantified	264860	78055	186800				25	127;247;281;288;688;1026;1711;1836	True;True;True;True;True;True;True;True	128;251;285;292;694;1033;1731;1857	263;527;589;601;1339;1986;3378;3619	1292;1293;1294;1295;1296;1297;2529;2530;2531;2532;2733;2734;2794;2795;2796;5876;5877;5878;5879;5880;5881;5882;8545;8546;14115;14116;14117;14118;14119;14120;14121;14122;14123;14124;14125;14126;14127;14128;14129;15134;15135;15136	1294;2529;2734;2795;5882;8546;14125;15135		
b0178	b0178	3	3	3		1	3	3	3	23.6	23.6	23.6	17.656	161	161	0	4.5322	0.69388	1.0569	9.803	3	0	Leave out requantified	367210	216590	150630				26	184;829;1615	True;True;True	187;835;1634	371;1595;3140	1794;6923;6924;6925;6926;6927;6928;6929;6930;6931;6932;13074;13075	1794;6927;13074		
b0180	b0180	1	1	1		1	1	1	1	5.3	5.3	5.3	17.015	151	151	0	1.768	0.48272	0.78157	0.7016	2	0	Median	149450	101340	48108				27	562	True	566	1111;1112	4907;4908;4909;4910;4911;4912;4913;4914;4915;4916;4917;4918;4919	4913		
b0185	b0185	3	3	3		1	3	3	3	11.9	11.9	11.9	35.241	319	319	0	3.9252	NaN	NaN	NaN	1	0	Median	56835	31974	24861				28	840;990;1025	True;True;True	846;997;1032	1617;1926;1985	7003;8349;8544	7003;8349;8544		
b0194	b0194	8	8	8		1	8	8	8	17.8	17.8	17.8	63.692	572	572	0	9.9573	4.0207	2.7363	69.268	3	0	Leave out requantified	297750	74850	222900				29	229;675;1605;1620;1666;1819;1843;1874	True;True;True;True;True;True;True;True	233;681;1624;1639;1685;1840;1864;1895	495;1314;3126;3127;3156;3157;3228;3588;3639;3715	2383;2384;2385;5756;5757;5758;5759;5760;5761;5762;5763;5764;13047;13048;13115;13116;13117;13118;13363;13364;15028;15220;15221;15222;15670;15671	2383;5762;13047;13117;13363;15028;15221;15671		
b0197	b0197	2	2	2		1	2	2	2	14	14	14	29.431	271	271	0	4.1243	NaN	NaN	NaN	1	0	Median	87174	63653	23521				30	290;1119	True;True	294;1126	603;2163	2800;9259	2800;9259		
b0222	b0222	2	2	2		1	2	2	2	10.4	10.4	10.4	20.815	192	192	0	3.1148	0.60535	0.90742	15.087	2	0	Median	124960	75748	49208				31	27;1238	True;True	27;1246	58;59;60;2413	302;303;304;305;306;307;308;309;310;311;312;10287;10288	305;10288		
b0237	b0237	5	5	5		1	5	5	5	10.7	10.7	10.7	52.883	485	485	0	15.23	1.0045	0.95714	5.3957	6	0	Leave out requantified	506570	283090	223470				32	341;375;1338;1512;1517	True;True;True;True;True	345;379;1353;1528;1533	689;690;772;773;2624;2625;2626;2627;2952;2964;2965	3180;3181;3182;3183;3584;3585;3586;3587;3588;3589;3590;11058;11059;11060;11061;11062;11063;11064;11065;11066;11067;11068;11069;11070;11071;11072;11073;11074;11075;12361;12362;12396;12397;12398	3181;3585;11065;12361;12397		
b0238	b0238	3	3	3		1	3	3	3	20.4	20.4	20.4	16.97	152	152	0	7.0458	NaN	NaN	NaN	1	0	Median	136600	82232	54364				33	647;660;1922	True;True;True	653;666;1944	1259;1282;3805	5589;5676;16049;16050;16051;16052;16053;16054;16055;16056	5589;5676;16054		
b0352	b0352	2	2	2		1	2	2	2	8.6	8.6	8.6	36.47	337	337	0	1.861	NaN	NaN	NaN	1	0	Median	1561300	1456800	104560				34	1000;1717	True;True	1007;1737	1942;3402	8403;14245	8403;14245		
b0411	b0411	1	1	1		1	1	1	1	5.4	5.4	5.4	33.589	294	294	0	2.0983	NaN	NaN	NaN	0	0	Median	16005	16005	0				35	676	True	682	1315	5765	5765		
b0415	b0415	2	2	2		1	2	2	2	9.6	9.6	9.6	16.156	156	156	0	2.4464	NaN	NaN	NaN	1	0	Median	115120	106410	8705.4				36	1611;1902	True;True	1630;1924	3134;3775	13063;15948;15949	13063;15949		
b0426	b0426	4	4	4		1	4	4	4	36.2	36.2	36.2	18.344	163	163	0	7.1136	0.70794	1.0783	31.793	3	0	Leave out requantified	261810	151720	110090				37	656;1538;1795;1817	True;True;True;True	662;1556;1815;1838	1275;3009;3551;3585;3586	5662;5663;5664;5665;12574;12575;14872;14873;14874;14875;15024;15025;15026	5665;12574;14872;15026		
b0431	b0431	1	1	1		1	1	1	1	1.5	1.5	1.5	74.367	663	663	0.005698	1.6089	NaN	NaN	NaN	1	0	Median	26767	17245	9521.6				38	326	True	330	663	3081	3081		
b0432	b0432	2	2	2		1	2	2	2	5.4	5.4	5.4	34.911	315	315	0.0029586	1.7092	0.69403	0.96077	6.7698	2	0	Median	47568	27283	20285				39	9;734	True;True	9;740	22;1411	110;6167	110;6167		
b0434	b0434	1	1	1		1	1	1	1	4.7	4.7	4.7	20.95	192	192	0	1.8335	NaN	NaN	NaN	1	0	Median	177020	106930	70099				40	546	True	550	1071;1072;1073	4777;4778;4779;4780;4781	4781		
